t,s1,s2,s3,s4,s5,s6,s7,s8
132,-0.072099,-0.003605,-0.271018,0.223597,-0.065689,0.381792,0.316244,0.050668
133,-0.072252,-0.003408,-0.271206,0.223774,-0.065725,0.382102,0.316682,0.050606
134,-0.071861,-0.003355,-0.270786,0.223588,-0.065516,0.381694,0.316214,0.050553
135,-0.071665,-0.00318,-0.270828,0.223719,-0.065294,0.381803,0.316301,0.0505
136,-0.071936,-0.003108,-0.271192,0.223944,-0.065609,0.382285,0.316925,0.050503
137,-0.071675,-0.003235,-0.27077,0.223601,-0.065666,0.381675,0.316559,0.050561
138,-0.071577,-0.003031,-0.270488,0.223551,-0.065442,0.381348,0.316528,0.050464
139,-0.071768,-0.002876,-0.271061,0.224036,-0.065484,0.381834,0.317089,0.050674
140,-0.071672,-0.002888,-0.271042,0.224052,-0.065469,0.381771,0.316895,0.050736
141,-0.071235,-0.00323,-0.270454,0.223555,-0.065273,0.381198,0.315949,0.050755
142,-0.071183,-0.003351,-0.27094,0.223751,-0.065443,0.381752,0.316254,0.050861
143,-0.071237,-0.003318,-0.271,0.223782,-0.065497,0.38191,0.316387,0.050686
144,-0.071028,-0.003291,-0.27064,0.223444,-0.065447,0.381395,0.315775,0.050675
145,-0.071136,-0.003274,-0.270648,0.223578,-0.06564,0.381398,0.315665,0.050702
146,-0.071333,-0.002746,-0.27101,0.223732,-0.066051,0.381731,0.316464,0.050531
147,-0.071294,-0.003032,-0.270609,0.223544,-0.065855,0.381277,0.316033,0.050525
148,-0.071573,-0.003229,-0.270588,0.223623,-0.06582,0.381351,0.31596,0.050456
149,-0.072168,-0.003065,-0.270978,0.223725,-0.065631,0.381757,0.317004,0.050488
150,-0.072101,-0.002964,-0.27096,0.223649,-0.065505,0.381725,0.317097,0.050509
151,-0.071784,-0.003061,-0.27064,0.22339,-0.065381,0.381248,0.316278,0.05036
152,-0.072185,-0.00313,-0.271214,0.223697,-0.065619,0.381947,0.316772,0.05042
153,-0.072206,-0.002895,-0.271246,0.223764,-0.065542,0.38185,0.316835,0.050476
154,-0.07168,-0.003312,-0.270834,0.223537,-0.065322,0.38135,0.315853,0.050397
155,-0.071997,-0.002943,-0.271182,0.223581,-0.065288,0.381628,0.316144,0.050306
156,-0.072027,-0.002775,-0.271081,0.223919,-0.065515,0.382282,0.316233,0.050119
157,-0.071491,-0.003033,-0.270219,0.223794,-0.065478,0.381538,0.315717,0.050172
