t,s1,s2
6.1000000000000005,-268.5320286887235,-1943.548864322264
6.12,-268.5320286887235,-1976.3413286045347
6.140000000000001,-266.16762334633137,-2008.9444668067272
6.16,-261.40945796819733,-2044.967728670888
6.18,-256.60168951602515,-2082.916908272464
6.2,-255.7431809318402,-2117.4240151618737
6.22,-259.9549255864784,-2149.3955800740623
6.24,-269.41436502976273,-2179.5812276384413
6.26,-283.38645697056774,-2207.7600001224328
6.28,-300.1131608782273,-2232.102141090673
6.3,-318.6888862960821,-2249.6930782884006
6.32,-337.0876623610865,-2258.0208596927196
6.34,-355.57959081236964,-2255.312186876803
6.36,-373.95473068744593,-2241.710298974432
6.38,-394.0497044165365,-2215.9123783332184
6.4,-415.53166386184046,-2183.005042817456
6.42,-433.0357765170584,-2159.0665393497875
6.44,-447.36971484317354,-2143.1925651264382
6.46,-459.11898474458656,-2131.821230124496
6.48,-469.71496693737873,-2122.803605429996
6.5,-478.76125923871274,-2114.5283423187116
6.52,-486.8094961183817,-2106.2384885586553
6.54,-493.25908596198286,-2097.3244464309164
6.56,-498.65902118444546,-2089.2969625761366
6.58,-503.2477315655748,-2081.2098672943525
6.6000000000000005,-507.236413188691,-2074.261026031684
6.62,-510.90882918169257,-2068.0407539947255
6.640000000000001,-513.9288202917672,-2063.6867693906133
6.66,-516.1614492145836,-2061.1530440398205
6.68,-518.3934446140897,-2060.050808582432
6.7,-519.5992506728845,-2060.7375958727243
6.72,-520.9006001940537,-2063.4077552937238
6.74,-521.4574491213002,-2067.8536053207217
6.76,-521.8273170746454,-2074.295731002588
6.78,-522.1082204467201,-2082.5526537801097
6.8,-522.3882440833667,-2093.1883764418185
6.82,-522.7561178170455,-2105.7259803130746
6.84,-523.5997800350955,-2120.499005506967
6.86,-524.5297099877017,-2136.3472447885815
6.88,-525.45691015131,-2153.580338391496
6.9,-525.7431809318401,-2169.4957774974832
6.92,-524.8887881661503,-2184.047935623706
6.94,-523.0357765170584,-2196.272880408488
6.96,-519.9732221816384,-2205.797063919534
6.98,-515.8940314340903,-2213.985930288468
7.0,-510.90882918169257,-2220.5208019110914
7.02,-505.1235660530084,-2226.4394965603187
7.04,-498.4387092237845,-2231.367415294941
7.06,-490.56453321507786,-2236.612183000475
7.08,-481.52558806852096,-2242.474942144863
7.1000000000000005,-471.018092079217,-2250.2277304621753
7.12,-458.2075985719697,-2259.704517553753
7.140000000000001,-444.43319538971673,-2269.389217067747
7.16,-429.325386465693,-2275.5830984606982
7.18,-414.0694317120863,-2275.9509986448384
7.2,-398.2736340937667,-2269.1475421493265
7.219999999999998,-382.71270099643135,-2253.8260919283607
7.24,-368.5878416654016,-2229.7405853383443
7.259999999999998,-357.9357127748473,-2197.318246817432
7.28,-351.11820565640573,-2156.9684098397965
7.3,-345.74140143987694,-2115.192791148339
7.32,-336.70166403333127,-2079.837607690354
7.34,-324.54574446439,-2052.430786510238
7.36,-310.9480965276015,-2032.601626426044
7.38,-297.3282574979569,-2019.205965665152
7.4,-283.7431866580645,-2012.4521599916025
7.42,-271.48785677964094,-2010.2119814980704
7.44,-260.53561238531074,-2011.4581283282555
7.46,-250.4307669655693,-2014.9003328389867
7.48,-241.82563591547847,-2019.558029960348
7.5,-234.54574446439,-2024.3780893933
7.52,-228.46573820035337,-2028.6490365610052
7.54,-223.66505125323152,-2032.72865727196
7.56,-219.7011743981372,-2036.465533117412
7.58,-216.98933483894447,-2040.4177512253368
7.6,-214.86862056537268,-2045.088462140652
7.62,-213.80629013508735,-2050.193474032991
7.64,-213.39725004086117,-2056.6326659353495
7.66,-213.39725004086117,-2064.0775803208858
7.679999999999999,-214.69920271344,-2072.616094506264
7.7,-216.98933483894444,-2082.372113192718
7.719999999999998,-220.11663932927527,-2092.982734724042
7.74,-224.70718251488137,-2104.566512815756
7.759999999999998,-230.9555541799196,-2116.6977683962405
7.78,-238.793462480926,-2128.794883912294
7.8,-248.56334485795392,-2139.7125804260863
7.82,-259.9549255864784,-2148.108551266848
7.84,-272.9702315020149,-2152.808764719357
7.86,-288.048359974539,-2152.127193361972
7.88,-305.03659207533383,-2143.8672721875064
7.9,-325.03029336373726,-2126.9571084056083
7.92,-345.74140143987694,-2109.7042836531177
7.94,-365.29910602205575,-2101.9470294653547
7.96,-383.2529158151791,-2105.784602340977
7.98,-399.9267932520319,-2119.721528073216
8.0,-414.066900752172,-2142.1132020579444
8.019999999999998,-423.9288202917672,-2171.665746629936
8.040000000000001,-428.7743151213041,-2206.5088698303616
8.06,-429.6996429398697,-2245.9944299728263
8.08,-431.1790695781157,-2282.7099293172923
8.099999999999998,-434.88878816615033,-2315.0216303256716
8.120000000000001,-440.87165733262015,-2345.520000153912
8.14,-448.53796207842686,-2375.7259803130746
8.16,-457.3405131021127,-2406.347457109656
8.179999999999998,-466.9365153399691,-2437.8116458732375
8.199999999999998,-475.7465518632061,-2470.61960883672
8.22,-481.77283671970355,-2501.111786923807
8.24,-484.29079897675433,-2527.6971327151377
8.259999999999998,-482.9893482115722,-2551.566412721624
8.279999999999998,-478.50553584807005,-2574.6675532649288
8.3,-470.63723979080703,-2599.21311299781
8.32,-459.69839587781854,-2627.0559810952873
8.34,-447.95365611853674,-2653.9556394187543
