Time Angle omega x y
s degrees degrees/s  
20.7490 8.3037 -95.5936  
20.7790 6.0339 -88.8131  
20.8160 3.5330 -59.2490  
20.8490 0.9731 -70.3185  
20.8820 -1.6011 -66.3646  
20.9150 -4.1225 -50.7198  
20.9490 -6.4901 -28.0445  
20.9820 -8.5392 24.9044  
21.0150 -9.9432 94.7513  
21.0820 -11.2992 -35.2128  
21.1160 -12.0154 95.3709  
21.1490 -12.8681 -122.0851  
21.1820 -13.5068 -1.5828  
21.2160 -13.7417 50.4994  
21.2490 -13.5576 60.6256  
21.2820 -12.9733 70.5399  
21.3150 -12.0579 71.4442  
21.3490 -10.9716 74.4314  
21.3820 -9.8675 100.1557  
21.4150 -8.2269 91.0964  
21.4490 -6.6249 83.9866  
21.4820 -4.3514 81.4162  
21.5150 -1.8227 75.7522  
21.5490 0.7711 69.6345  
21.5820 3.3701 62.2187  
21.6160 5.8938 46.2830  
21.6490 8.2298 14.6037  
21.6830 9.8885 -124.7917  
21.7150 11.4742 80.4727  
21.7490 13.0279 79.0079  
21.7820 13.7770 -157.2671  
21.8160 14.4982 70.7893  
21.8490 15.0929 37.4298  
21.8820 15.2779 -52.4141  
21.9150 15.0689 -57.1542  
21.9490 14.4695 -68.5664  
21.9820 13.5696 -76.4211  
22.0150 12.8579 -71.5782  
22.0490 11.5880 -88.4326  
22.0830 9.7496 -88.1895  
22.1180 8.1310 -85.4832  
22.1490 5.9890 -91.1958  
22.1820 3.5043 -66.4307  
22.2150 0.9763 -65.5180  
22.2490 -1.5661 -59.7078  
22.2820 -4.0628 -56.8080  
22.3150 -6.4378 -39.5425  
22.3490 -8.4148 47.6078  
22.3820 -9.8130 84.2442  
22.4500 -11.2287 -46.6624  
22.4820 -11.9416 126.1526  
22.5150 -12.8147 -134.2361  
22.5490 -13.4374 9.1813  
22.5840 -13.6722 49.0355  
22.6160 -13.5040 62.5110  
22.6480 -12.9156 72.7368  
22.6820 -11.9610 69.3304  
22.7150 -10.9238 74.0727  
22.7490 -9.8255 99.7314  
22.7820 -8.1251 86.3132  
22.8150 -6.5428 86.5316  
22.8490 -4.2488 79.0216  
22.8820 -1.7361 75.7522  
22.9150 0.8417 71.7446  
22.9490 3.4087 55.6413  
22.9820 5.9002 47.6618  
23.0190 8.2100 14.5813  
23.0490 9.8614 -137.9606  
23.0830 11.3846 62.0217  
23.1160 12.8819 78.4468  
23.1490 13.6206 -143.3302  
23.1830 14.4221 97.4946  
23.2160 15.0168 13.0820  
23.2490 15.2018 -52.4141  
23.2830 15.0089 -55.4732  
23.3150 14.4257 -72.8518  
23.3490 13.5364 -74.1734  
23.3830 12.8405 -64.8083  
23.4160 11.6173 -95.9183  
23.4490 9.8668 -81.3223  
23.4820 8.2461 -104.0206  
23.5160 6.0395 -74.8006  
23.5490 3.5864 -61.6278  
23.5820 1.0743 -70.3074  
23.6150 -1.4522 -61.4957  
23.6500 -3.9288 -52.3524  
23.6820 -6.2832 -40.6543  
23.7160 -8.3341 24.4997  
23.7490 -9.7355 100.8681  
23.8160 -11.1804 -46.5457  
23.8490 -11.8807 121.6410  
23.8830 -12.7575 -126.7403  
23.9160 -13.4118 5.8043  
23.9480 -13.6663 52.4686  
23.9830 -13.5140 58.2171  
24.0150 -12.9432 73.4969  
24.0490 -12.0091 68.6150  
24.0830 -10.9019 75.4116  
24.1150 -9.8006 102.1863  
24.1490 -8.1183 79.1542  
24.1820 -6.5375 90.8926  
24.2150 -4.2556 81.8552  
24.2490 -1.7399 74.3872  
24.2820 0.8256 65.9932  
24.3150 3.3806 58.5612  
24.3490 5.8650 48.4022  
24.3820 8.1646 14.6985  
24.4150 9.7780 -130.2536  
24.4490 11.3025 70.0299  
24.4820 12.8648 93.0198  
24.5160 13.5747 -162.4684  
24.5490 14.3930 114.6573  
24.5820 14.9327 -7.7584  
24.6150 15.1337 -36.6379  
24.6490 14.9529 -55.4732  
24.6820 14.3903 -65.8068  
24.7160 13.5270 -74.1939  
24.7490 12.8715 -67.2739  
24.7820 11.6629 -95.4450  
24.8150 9.8632 -86.1234  
24.8490 8.3103 -89.8648  
24.8820 6.1028 -83.7035  
24.9150 3.7018 -66.4110  
24.9490 1.1866 -69.1158  
24.9830 -1.3398 -58.8107  
25.0150 -3.8165 -52.2837  
25.0490 -6.1914 -44.2958  
