Tempo Angle omega x y
s degrees degrees/s  
15.3640 6.2923 -40.2182  
15.3970 7.6475 21.0794  
15.4310 8.8141 13.6670  
15.4640 9.7926 10.5237  
15.5300 10.5422 -0.9077  
15.5640 11.0195 -7.6223  
15.5970 11.2726 -11.3658  
15.6300 11.2725 -20.9839  
15.6640 11.1842 -23.9719  
15.6970 11.0125 11.6671  
15.7300 11.0546 22.1262  
15.7640 10.8725 -45.4965  
15.7960 10.4601 -57.4180  
15.8310 9.8039 -59.7413  
15.8630 8.9181 -73.6567  
15.8970 7.8350 -65.6134  
15.9310 6.5665 -65.5674  
15.9640 5.1312 -71.5518  
15.9960 3.5427 -73.3339  
16.0310 1.7037 -60.5731  
16.0640 -0.3964 -56.9720  
16.0970 -2.5267 -56.0485  
16.1200 -4.6455 -74.9074  
16.1640 -6.5583 -0.6749  
16.1970 -8.2337 0.4894  
16.2310 -9.5459 41.2184  
16.2640 -10.7163 -24.6073  
16.2970 -11.6685 -5.3857  
16.3300 -12.2955 27.3904  
16.3640 -13.0196 -90.9026  
16.3970 -13.3349 66.9129  
16.4310 -13.4300 10.3705  
16.4640 -13.2886 19.4754  
16.4970 -13.2375 -28.3112  
16.5300 -13.1173 21.4639  
16.5640 -13.2182 -23.8117  
16.5970 -13.0783 48.3545  
16.6310 -12.7106 61.7636  
16.6640 -12.2357 59.8828  
16.6970 -11.2144 71.9380  
16.7320 -10.1763 67.8523  
16.7640 -8.9507 69.6283  
16.7970 -7.5544 71.2364  
16.8310 -5.8416 65.5757  
16.8640 -3.9263 82.8300  
16.8980 -1.7831 43.2110  
16.9300 0.3968 61.3455  
16.9630 2.4888 37.0175  
16.9980 4.4439 17.3352  
17.0310 5.9819 -54.4732  
17.0640 7.3606 23.6908  
17.0980 8.5788 18.3535  
17.1310 9.5836 6.5540  
17.1660 10.6254 74.2721  
17.1970 11.5097 37.3695  
17.2300 11.8627 -116.4951  
17.2640 11.9988 -6.0427  
17.2970 11.9438 -20.8825  
17.3300 11.7418 -26.1783  
17.3640 11.7326 3.8503  
17.3970 11.6703 7.5883  
17.4310 11.4892 -16.5716  
17.4630 11.1000 -58.2747  
17.4970 10.3045 -43.0602  
17.5300 9.1097 -85.8957  
17.5640 8.0764 -65.5565  
17.5970 6.8406 -67.5828  
17.6300 5.4512 -67.4301  
17.6640 3.9106 -69.8953  
17.6970 2.1595 -59.8049  
17.7300 0.1832 -60.6565  
17.7640 -1.9341 -58.0493  
17.7980 -4.0370 -50.6235  
17.8200 -6.0128 -8.7381  
17.8640 -7.4924 48.3440  
17.8970 -8.8307 -24.7328  
17.9300 -10.0072 -18.5536  
17.9640 -11.0051 -12.8893  
17.9960 -11.7761 -3.3945  
18.0310 -13.0844 -209.8859  
18.0640 -13.4625 221.2254  
18.0970 -13.6080 10.6847  
18.1310 -13.5259 16.3053  
18.1670 -13.3540 19.6018  
18.1970 -13.5795 -61.5759  
18.2310 -13.6194 30.5985  
