Tempo Angle omega x y
s degrees degrees/s  
11.7830 -1.6727 57.9882  
11.8290 0.1182 49.4571  
11.8640 1.9110 35.0481  
11.8970 3.3927 -57.7901  
11.9290 4.9666 34.8202  
11.9630 7.0331 183.7885  
11.9960 8.4465 -125.6408  
12.0300 9.6215 2.1911  
12.0630 10.7860 67.3339  
12.1300 11.5323 -27.5939  
12.1630 12.0178 -12.2268  
12.1960 12.2197 -17.0189  
12.2290 12.7628 140.5471  
12.2630 12.8700 -184.2678  
12.2960 12.7446 -36.7539  
12.3290 12.0404 13.9803  
12.3450 11.7187 -20.0538  
12.3970 11.1679 -42.6246  
12.4300 10.1802 -65.0654  
12.4620 9.1184 -80.9239  
12.4790 7.8780 -128.8512  
12.5300 6.4071 -56.1888  
12.5660 4.3067 -46.0334  
12.5960 2.5900 -80.9278  
12.6290 0.8826 -33.9588  
12.6630 -0.8708 0.0633  
12.6970 -2.6215 -8.6544  
12.7250 -4.2297 -28.2509  
12.7460 -5.7116 -42.1217  
12.7970 -6.9669 -6.3466  
12.8300 -8.0349 -9.6111  
12.8630 -9.7109 -271.0809  
12.8960 -10.3080 276.6999  
12.9310 -10.6306 9.0833  
12.9630 -10.7668 23.2382  
12.9960 -10.8289 22.4849  
13.0300 -10.7638 28.7708  
13.0630 -10.4991 36.5427  
13.0960 -10.0886 17.3655  
13.1290 -9.5852 18.3128  
13.1630 -8.8981 44.7198  
13.2000 -7.0583 69.7692  
13.2300 -5.8857 81.9794  
13.2640 -4.4970 72.8853  
13.2960 -2.9504 72.5926  
13.3290 -1.2601 66.0321  
13.3640 0.5776 70.0660  
13.3960 2.3769 25.7070  
13.4300 3.9218 -58.0124  
13.4630 5.5084 30.9814  
13.4950 7.4622 162.2699  
13.5120 8.7912 -215.7250  
13.5630 9.9208 9.1364  
13.5960 10.9933 57.7807  
13.6120 11.9722 86.6857  
13.6630 12.4196 -61.4900  
13.6960 12.5843 -11.3620  
13.7300 12.7239 16.8178  
13.7630 13.3782 96.2169  
13.7790 13.3088 -388.4755  
13.8300 12.6125 -21.0784  
13.8450 12.4070 82.6059  
13.8960 12.0413 -22.2523  
13.9120 11.2403 -152.9414  
13.9620 10.0677 -46.5708  
13.9790 8.9628 -144.6149  
14.0300 7.6635 -45.4753  
14.0630 6.0204 -86.8846  
14.0970 3.8818 -52.3265  
14.1300 2.1998 -49.9841  
14.1450 0.4723 -101.9738  
14.1970 -1.2810 18.8486  
14.2300 -3.0231 -30.9885  
