Tempo Ângulo omega x y
s graus graus/s  
11.7650 1.0745 16.5983  
11.7980 2.0297 39.1593  
11.8150 3.0384 -6.5994  
11.8660 4.1078 27.1568  
11.8990 5.1792 37.1611  
11.9140 5.7607 -154.4070  
11.9660 6.0528 -21.7876  
11.9990 6.1173 -18.6741  
12.0140 6.1855 60.3841  
12.0650 6.1982 -20.6268  
12.0810 6.0028 -95.8692  
12.1330 5.5245 -29.5470  
12.1660 4.8695 -56.9705  
12.1980 3.8441 -72.4356  
12.2140 2.5746 -75.9940  
12.2650 1.5085 -5.5177  
12.2810 0.5612 3.4594  
12.3320 -0.3911 -13.0626  
12.3650 -1.5247 -27.5070  
12.3990 -2.5764 -6.8388  
12.4660 -3.7142 -35.7598  
12.4990 -4.4460 76.5103  
12.5320 -4.9067 25.1605  
12.5480 -5.0723 39.5860  
12.5990 -5.0963 3.9185  
12.6320 -5.0586 10.1730  
12.6480 -4.9225 64.9224  
12.6990 -4.5233 38.5419  
12.7320 -3.8430 57.6655  
12.7480 -2.9638 109.7745  
12.7820 -1.6802 48.4731  
12.8320 -0.6093 7.9706  
12.8480 0.3520 -16.6808  
12.8990 1.3024 10.3051  
12.9320 2.2784 13.7885  
12.9480 3.2403 12.1692  
13.0330 4.1857 10.2828  
13.0650 4.8186 -36.2430  
13.0810 5.2156 -28.4345  
13.1330 5.3825 -10.4906  
13.1660 5.4598 22.8050  
13.1980 5.3604 -42.8047  
13.2150 5.1439 -84.4898  
13.2650 4.7084 -33.3112  
13.2810 4.0660 -100.7857  
13.3330 3.1939 -40.4595  
13.3660 2.1366 -29.6036  
13.3810 1.1248 -47.0030  
13.4320 0.1925 6.6633  
13.4480 -0.8023 -73.1229  
13.4990 -1.9089 -7.1831  
13.5140 -2.8910 -8.2265  
13.5660 -4.4563 -139.8052  
13.5990 -5.1862 202.7042  
13.6150 -5.6832 44.7892  
13.6660 -5.8626 21.0080  
13.6980 -5.8754 21.5491  
