Tempo Angle omega x y
s degrees degrees/s  
25.6500 -3.3811 87.7421  
25.6840 -5.5257 -46.4513  
25.7200 -7.5291 -35.2888  
25.7500 -9.3140 -31.9103  
25.7840 -10.8988 -20.7733  
25.8170 -12.2316 -19.3600  
25.8500 -13.4988 -69.2658  
25.8830 -14.9807 -146.6234  
25.9160 -15.4607 220.7350  
25.9500 -15.5906 23.4609  
25.9830 -15.9394 21.4287  
26.0170 -16.0187 32.7919  
26.0500 -15.8442 38.4238  
26.0830 -15.4163 47.7788  
26.1170 -14.8194 28.9073  
26.1500 -14.2321 -22.2241  
26.1830 -13.1691 74.8352  
26.2160 -11.3048 96.2416  
26.2510 -9.8758 83.7103  
26.2840 -8.2323 89.2174  
26.3170 -6.3664 88.7961  
26.3500 -4.3429 81.5467  
26.3840 -2.1738 80.1231  
26.4170 0.0622 68.0249  
26.4500 1.9907 -63.3756  
26.4830 4.1282 41.1133  
26.5170 6.1534 39.5927  
26.5500 7.9398 23.8979  
26.5830 9.5124 23.9761  
26.6170 10.8451 16.0192  
26.6500 12.4174 161.4319  
26.6840 13.6281 -27.2119  
26.7170 14.1262 -133.3953  
26.7500 14.3295 -21.3063  
26.7840 14.6628 -23.2553  
26.8160 14.7576 -32.1688  
26.8500 14.6072 -32.5016  
26.8840 14.3953 5.1158  
26.9170 14.0278 -23.1949  
26.9500 13.4578 -44.8820  
26.9840 12.0666 -84.8096  
27.0170 10.4738 -89.1418  
27.0510 9.0506 -79.5933  
27.0830 7.3816 -98.7554  
27.1170 5.4978 -86.4738  
27.1500 3.4476 -81.5943  
27.1830 1.2344 -82.8770  
27.2170 -1.2407 -71.9189  
27.2510 -3.5361 30.3351  
27.2830 -5.6807 0.8473  
